sequence,visit_day,packet_wave,priority,request_identifier,request_type,duplicate_rows_collapsed,chapters,cluster_titles,source_parts,offices,related_request_waves,request_reason,first_onsite_action,onsite_actions,target_terms,combined_why_it_matters,dedupe_note,capture_exact_folder_title,capture_box_or_container,capture_folder_date_span,capture_withdrawal_sheet,capture_item_title,capture_item_date,capture_sender_recipient,capture_document_type,capture_classification_markings,capture_page_range,capture_attachments,capture_volume_boundary,candidate_disposition,final_source_note,compiler_notes,packet_source_note
11,Day 1,Day 1 / Packet 07,A,OA/ID 644,OA/ID request,1,Regional Proliferation Cases,North Korea PC/DC meeting notes and working files,"Parts 2, 3, and 4",Staff Director / Nancy Soderberg; NSC regional and speechwriting files,Day 1 / 07.04,Request for Regional Proliferation Cases: North Korea PC/DC meeting notes and working files.,"Pull OA/ID 1394 North Korea PC/DC notes from November 1993 through October 1994, plus May 28, 1996.","Pull OA/ID 1394 North Korea PC/DC notes from November 1993 through October 1994, plus May 28, 1996.; Pull OA/ID 1406 North Korea July 1993 and May-June 1994 folders.; Use Intelligence Programs North Korea/North Korea-Nuclear rows as a second-day source lane if access allows.",Agreed Framework; DC meeting; DPRK; North Korea; PC meeting,"The existing regional chapter is DPRK-heavy but still needs actual PC/DC sequence records, not only file-unit titles.",Single-rationale request packet.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 2, 3, and 4, OA/ID 644. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
12,Day 1,Day 1 / Packet 08,A,OA/ID 723,OA/ID request,1,Regional Proliferation Cases,"Iran, Iraq, UNSCOM, and regional WMD files","Parts 2, 3, and 4",Near East and South Asian Affairs; Staff Director; Legal Advisor; Intelligence Programs,Day 1 / 08.02,"Request for Regional Proliferation Cases: Iran, Iraq, UNSCOM, and regional WMD files.",Pull Legal Advisor Iran missile sanctions and WMD folders only after policy folders identify decision dates.,"Pull Legal Advisor Iran missile sanctions and WMD folders only after policy folders identify decision dates.; Pull NESA Iraq/UNSCOM and Iran WMD folders from OA/ID 723-729 and 255.; Pull Staff Director Iraq working files and UNSCOM rows in OA/ID 1405, 1417, and 1418 if time permits.",chemical weapons; Iran; Iraq; missile sanctions; UNSCOM; WMD,"This addresses the biggest regional imbalance: North Korea currently dominates, while Iraq/UNSCOM and Iran WMD/missile issues are underbuilt.",Single-rationale request packet.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 2, 3, and 4, OA/ID 723. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
13,Day 1,Day 1 / Packet 09,A,OA/ID 724,OA/ID request,1,Regional Proliferation Cases,"Iran, Iraq, UNSCOM, and regional WMD files","Parts 2, 3, and 4",Near East and South Asian Affairs; Staff Director; Legal Advisor; Intelligence Programs,Day 1 / 08.03,"Request for Regional Proliferation Cases: Iran, Iraq, UNSCOM, and regional WMD files.",Pull Legal Advisor Iran missile sanctions and WMD folders only after policy folders identify decision dates.,"Pull Legal Advisor Iran missile sanctions and WMD folders only after policy folders identify decision dates.; Pull NESA Iraq/UNSCOM and Iran WMD folders from OA/ID 723-729 and 255.; Pull Staff Director Iraq working files and UNSCOM rows in OA/ID 1405, 1417, and 1418 if time permits.",chemical weapons; Iran; Iraq; missile sanctions; UNSCOM; WMD,"This addresses the biggest regional imbalance: North Korea currently dominates, while Iraq/UNSCOM and Iran WMD/missile issues are underbuilt.",Single-rationale request packet.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 2, 3, and 4, OA/ID 724. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
14,Day 1,Day 1 / Packet 10,A,OA/ID 727,OA/ID request,1,Regional Proliferation Cases,"Iran, Iraq, UNSCOM, and regional WMD files","Parts 2, 3, and 4",Near East and South Asian Affairs; Staff Director; Legal Advisor; Intelligence Programs,Day 1 / 08.04,"Request for Regional Proliferation Cases: Iran, Iraq, UNSCOM, and regional WMD files.",Pull Legal Advisor Iran missile sanctions and WMD folders only after policy folders identify decision dates.,"Pull Legal Advisor Iran missile sanctions and WMD folders only after policy folders identify decision dates.; Pull NESA Iraq/UNSCOM and Iran WMD folders from OA/ID 723-729 and 255.; Pull Staff Director Iraq working files and UNSCOM rows in OA/ID 1405, 1417, and 1418 if time permits.",chemical weapons; Iran; Iraq; missile sanctions; UNSCOM; WMD,"This addresses the biggest regional imbalance: North Korea currently dominates, while Iraq/UNSCOM and Iran WMD/missile issues are underbuilt.",Single-rationale request packet.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 2, 3, and 4, OA/ID 727. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
15,Day 1,Day 1 / Packet 11,A,OA/ID 728,OA/ID request,1,Regional Proliferation Cases,"Iran, Iraq, UNSCOM, and regional WMD files","Parts 2, 3, and 4",Near East and South Asian Affairs; Staff Director; Legal Advisor; Intelligence Programs,Day 1 / 08.05,"Request for Regional Proliferation Cases: Iran, Iraq, UNSCOM, and regional WMD files.",Pull Legal Advisor Iran missile sanctions and WMD folders only after policy folders identify decision dates.,"Pull Legal Advisor Iran missile sanctions and WMD folders only after policy folders identify decision dates.; Pull NESA Iraq/UNSCOM and Iran WMD folders from OA/ID 723-729 and 255.; Pull Staff Director Iraq working files and UNSCOM rows in OA/ID 1405, 1417, and 1418 if time permits.",chemical weapons; Iran; Iraq; missile sanctions; UNSCOM; WMD,"This addresses the biggest regional imbalance: North Korea currently dominates, while Iraq/UNSCOM and Iran WMD/missile issues are underbuilt.",Single-rationale request packet.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 2, 3, and 4, OA/ID 728. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
16,Day 1,Day 1 / Packet 12,A,OA/ID 729,OA/ID request,1,Regional Proliferation Cases,"Iran, Iraq, UNSCOM, and regional WMD files","Parts 2, 3, and 4",Near East and South Asian Affairs; Staff Director; Legal Advisor; Intelligence Programs,Day 1 / 08.06,"Request for Regional Proliferation Cases: Iran, Iraq, UNSCOM, and regional WMD files.",Pull Legal Advisor Iran missile sanctions and WMD folders only after policy folders identify decision dates.,"Pull Legal Advisor Iran missile sanctions and WMD folders only after policy folders identify decision dates.; Pull NESA Iraq/UNSCOM and Iran WMD folders from OA/ID 723-729 and 255.; Pull Staff Director Iraq working files and UNSCOM rows in OA/ID 1405, 1417, and 1418 if time permits.",chemical weapons; Iran; Iraq; missile sanctions; UNSCOM; WMD,"This addresses the biggest regional imbalance: North Korea currently dominates, while Iraq/UNSCOM and Iran WMD/missile issues are underbuilt.",Single-rationale request packet.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 2, 3, and 4, OA/ID 729. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
17,Day 1,Day 1 / Packet 13,A,OA/ID 773,OA/ID request,1,Regional Proliferation Cases,"Technology transfers to China, ACDA, and missile proliferation",Parts 1 and 3,Access Management / William Leary; Strategic Planning; Office of the National Security Advisor,Day 1 / 09.08,"Request for Regional Proliferation Cases: Technology transfers to China, ACDA, and missile proliferation.",Request 1993-1996 redacted/copy sets first: OA/ID 1797 and 1808.,"Request 1993-1996 redacted/copy sets first: OA/ID 1797 and 1808.; Then pull OA/ID 1809-1813 State, DoD, DoS, CIA, and other third-agency documents.; Use OA/ID 1822 ACDA, Helms/Lott amendment, China Satellites, and Missile Proliferation rows as the targeted nonproliferation subset.",ACDA; China; CIA; DoD; DoS; missile proliferation; satellites; technology transfer,"The current project has only weak China proliferation coverage. These rows expose ACDA, DoD, DoS, CIA, State, redaction sets, and missile-proliferation source paths.",Single-rationale request packet.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 1 and 3, OA/ID 773. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
18,Day 1,Day 1 / Packet 14,A,OA/ID 844,OA/ID request,1,Chemical and Biological Weapons,"CWC ratification, BWC, Russian BW/CW, and chemical demilitarization","Parts 1, 3, and 4","Defense Policy, Legal Advisor, Speechwriting",Day 1 / 06.02,"Request for Chemical and Biological Weapons: CWC ratification, BWC, Russian BW/CW, and chemical demilitarization.","Pull Defense Policy CWC ratification folders in OA/ID 381, 939, and 844.","Pull Defense Policy CWC ratification folders in OA/ID 381, 939, and 844.; Pull Legal Advisor CWC/BWC folders: OA/ID 1007, 2471, 3115, 3311, 3390, and 3393.; Pull Speechwriting CWC folders only after internal policy folders, using them to trace public-language clearance.",BWC; chemical demilitarization; CWC; Russian BW; Russian CW; verification,"This turns the CBW chapter from public letters into a real ratification, verification, and Russian compliance source map.",Single-rationale request packet.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 1, 3, and 4, OA/ID 844. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
19,Day 1,Day 1 / Packet 15,A,OA/ID 939,OA/ID request,1,Chemical and Biological Weapons,"CWC ratification, BWC, Russian BW/CW, and chemical demilitarization","Parts 1, 3, and 4","Defense Policy, Legal Advisor, Speechwriting",Day 1 / 06.03,"Request for Chemical and Biological Weapons: CWC ratification, BWC, Russian BW/CW, and chemical demilitarization.","Pull Defense Policy CWC ratification folders in OA/ID 381, 939, and 844.","Pull Defense Policy CWC ratification folders in OA/ID 381, 939, and 844.; Pull Legal Advisor CWC/BWC folders: OA/ID 1007, 2471, 3115, 3311, 3390, and 3393.; Pull Speechwriting CWC folders only after internal policy folders, using them to trace public-language clearance.",BWC; chemical demilitarization; CWC; Russian BW; Russian CW; verification,"This turns the CBW chapter from public letters into a real ratification, verification, and Russian compliance source map.",Single-rationale request packet.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 1, 3, and 4, OA/ID 939. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
20,Day 1,Day 1 / Packet 16,A,OA/ID 940,OA/ID request,1,START II Ratification,"START II, Ukraine START, and Nunn-Lugar certification folders",Part 1,Defense Policy / Robert Bell and Anne Witkowsky,Day 1 / 04.02,"Request for START II Ratification: START II, Ukraine START, and Nunn-Lugar certification folders.",Pull OA/ID 2431 Nunn-Lugar Foreign Assistance folders [2]-[4] and compare with 2014-0644-M Nunn-Lugar MDR packet.,Pull OA/ID 2431 Nunn-Lugar Foreign Assistance folders [2]-[4] and compare with 2014-0644-M Nunn-Lugar MDR packet.; Pull OA/ID 940 Nunn-Lugar Certification and Russian START II/START EIF/Ukraine START folders.; Start with OA/ID 380 Russia START II ratification and Ukraine START folders.,certification; entry into force; Nunn-Lugar; START II; Ukraine START,"The START II chapter needs Senate/Duma/ABM context, while CTR/HEU needs the same former-Soviet nuclear-security implementation trail.",Single-rationale request packet.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 1, OA/ID 940. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
21,Day 1,Day 1 / Packet 17,A,OA/ID 1007,OA/ID request,2,Nonproliferation Regimes; Chemical and Biological Weapons,"CWC ratification, BWC, Russian BW/CW, and chemical demilitarization; Legal Advisor treaty and sanctions stack","Part 3; Parts 1, 3, and 4","Defense Policy, Legal Advisor, Speechwriting; Legal Advisor / Baker, Krass, DeRosa, Sparks",Day 1 / 06.04; Day 2 / 12.01,"Request once; supports Nonproliferation Regimes, Chemical and Biological Weapons across 2 staged clusters.",Avoid spending first-day time on broad legal files unless they connect to a known decision date.,"Avoid spending first-day time on broad legal files unless they connect to a known decision date.; Prioritize CWC, BWC, CTBT, START II, HEU, WMD, and Iran missile sanctions folders.; Pull Defense Policy CWC ratification folders in OA/ID 381, 939, and 844.; Pull Legal Advisor CWC/BWC folders: OA/ID 1007, 2471, 3115, 3311, 3390, and 3393.; Pull Speechwriting CWC folders only after internal policy folders, using them to trace public-language clearance.; Use Legal Advisor files to verify legal authority, implementation language, and executive-order handling.",ABM; BWC; chemical demilitarization; CTBT; CWC; HEU; Iran missile sanctions; Russian BW; Russian CW; START II; verification; WMD,"The legal files can close citation gaps on CWC regulations, BWC, CTBT, START II, ABM/NMD, HEU executive orders, and Iran missile sanctions.; This turns the CBW chapter from public letters into a real ratification, verification, and Russian compliance source map.",Collapsed 2 queue rows into one reading-room request for OA/ID 1007.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 3, Parts 1, 3, and 4, OA/ID 1007. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
22,Day 1,Day 1 / Packet 18,A,OA/ID 1394,OA/ID request,1,Regional Proliferation Cases,North Korea PC/DC meeting notes and working files,"Parts 2, 3, and 4",Staff Director / Nancy Soderberg; NSC regional and speechwriting files,Day 1 / 07.01,Request for Regional Proliferation Cases: North Korea PC/DC meeting notes and working files.,"Pull OA/ID 1394 North Korea PC/DC notes from November 1993 through October 1994, plus May 28, 1996.","Pull OA/ID 1394 North Korea PC/DC notes from November 1993 through October 1994, plus May 28, 1996.; Pull OA/ID 1406 North Korea July 1993 and May-June 1994 folders.; Use Intelligence Programs North Korea/North Korea-Nuclear rows as a second-day source lane if access allows.",Agreed Framework; DC meeting; DPRK; North Korea; PC meeting,"The existing regional chapter is DPRK-heavy but still needs actual PC/DC sequence records, not only file-unit titles.",Single-rationale request packet.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 2, 3, and 4, OA/ID 1394. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
23,Day 1,Day 1 / Packet 19,A,OA/ID 1405,OA/ID request,2,Regional Proliferation Cases; Conventional Arms and Landmines,"Iran, Iraq, UNSCOM, and regional WMD files; Landmines, NSC policy papers, demining, and conventional arms transfer","Parts 1, 2, 3, and 4; Parts 2, 3, and 4","Defense Policy, Staff Director, European Affairs, Multilateral & Humanitarian Affairs; Near East and South Asian Affairs; Staff Director; Legal Advisor; Intelligence Programs",Day 1 / 08.07; Day 2 / 11.03,"Request once; supports Regional Proliferation Cases, Conventional Arms and Landmines across 2 staged clusters.",Pull Legal Advisor Iran missile sanctions and WMD folders only after policy folders identify decision dates.,"Pull Legal Advisor Iran missile sanctions and WMD folders only after policy folders identify decision dates.; Pull NESA Iraq/UNSCOM and Iran WMD folders from OA/ID 723-729 and 255.; Pull OA/ID 3335 Landmines-Demining R&D, V. IWG meetings, Ottawa/effect on allies, demining assistance, and military alternatives.; Pull Staff Director Iraq working files and UNSCOM rows in OA/ID 1405, 1417, and 1418 if time permits.; Start with OA/ID 1405 Landmines 1996, Landmines-NSC Policy Papers, and Landmines-Papers from Outside Agencies.; Use OA/ID 2193 APL and CWC only if the European Affairs lane looks relevant to allied reaction.",APL; chemical weapons; demining; Iran; Iraq; landmines; missile sanctions; NSC policy papers; Ottawa; outside agencies; UNSCOM; WMD,"The conventional chapter was nearly empty; these rows expose the staff and agency lanes for PDD-48, demining, Ottawa, and allied effects.; This addresses the biggest regional imbalance: North Korea currently dominates, while Iraq/UNSCOM and Iran WMD/missile issues are underbuilt.",Collapsed 2 queue rows into one reading-room request for OA/ID 1405.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 1, 2, 3, and 4, Parts 2, 3, and 4, OA/ID 1405. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
