sequence,selection_gate,readiness_queue,next_action,required_verification,date_or_span,chapter,priority,title,source_type,repository,collection,identifier,level,confidence,compiler_risk,current_source_note,current_citation_status,source_url,digital_object_url,proposed_document_number,selection_decision,final_document_date,final_document_title,document_type,author_or_origin,recipient_or_audience,final_repository,final_collection_or_file_path,final_box_folder_or_identifier,classification_markings,draft_final_action_status,pagination,attachments_enclosures,editorial_note_needed,cross_references,declassification_or_withholding_notes,final_source_note,compiler_notes
11,Packet screening required,Screen packet,"Screen the packet for discrete memoranda, cables, telcons, memcons, directives, or action papers.",packet page range; exact item title; item date; classification markings; attachments; final source note,1995-1996,Regional Proliferation Cases,High,Declassified Documents Concerning Iran,Clinton Digital Library MDR,Clinton Digital Library,NSC Near East and South Asian Affairs / Nonproliferation offices,2015-0641-M,packet lead,Medium,Regional-balancing lead; identify the exact proliferation-policy items before selection.,"Source: Clinton Digital Library, NSC Near East and South Asian Affairs / Nonproliferation offices, 2015-0641-M. Packet title: ""Declassified Documents Concerning Iran"". Packet lead; exact item title, classification, and pagination pending.","Packet lead; exact item title, classification, and pagination pending.",https://clinton.presidentiallibraries.us/items/show/57243,,,,,,,,,,,,,,,,,,,,
12,Packet screening required,Screen packet,"Screen the packet for discrete memoranda, cables, telcons, memcons, directives, or action papers.",packet page range; exact item title; item date; classification markings; attachments; final source note,1996,Regional Proliferation Cases,Medium,Declassified documents concerning China,Clinton Digital Library MDR,Clinton Digital Library,Mandatory Declassification Review list,2016-0557-M,source-path lead,Review,MDR-list locator only; locate the item page and determine whether missile/nuclear transfer issues are present.,"Source: Clinton Digital Library, Mandatory Declassification Review list, 2016-0557-M. Title: ""Declassified documents concerning China"". Source-path lead; replace with an item-level archival citation before final FRUS selection.",Source-path lead; replace with an item-level archival citation before final FRUS selection.,https://clinton.presidentiallibraries.us/items/show/118879,,,,,,,,,,,,,,,,,,,,
13,Packet screening required,Screen packet,"Screen the packet for discrete memoranda, cables, telcons, memcons, directives, or action papers.",packet page range; exact item title; item date; classification markings; attachments; final source note,1997-04-14,Regional Proliferation Cases,Medium,Declassified documents concerning South Asia,Clinton Digital Library MDR,Clinton Digital Library,Mandatory Declassification Review list,2006-0859-M,source-path lead,Review,April 1997 Deputies Committee packet is outside the Volume VII date range; use as handoff context and a locator for earlier India/Pakistan nuclear files.,"Source: Clinton Digital Library, Mandatory Declassification Review list, 2006-0859-M. Title: ""Declassified documents concerning South Asia"". Source-path lead; replace with an item-level archival citation before final FRUS selection.",Source-path lead; replace with an item-level archival citation before final FRUS selection.,https://clinton.presidentiallibraries.us/items/show/100535,,,,,,,,,,,,,,,,,,,,
14,Packet screening required,Screen packet,"Screen the packet for discrete memoranda, cables, telcons, memcons, directives, or action papers.",packet page range; exact item title; item date; classification markings; attachments; final source note,1993-2001,Chemical and Biological Weapons,High,Elisa Harris Collection Finding Aid,Clinton Library finding aid,Clinton Digital Library,NSC Nonproliferation and Export Controls Office,2016-0158-F Segment 1,collection lead,High,No digitized items yet; requires research-room or request workflow.,"Source: Clinton Digital Library, NSC Nonproliferation and Export Controls Office, 2016-0158-F Segment 1. Collection title: ""Elisa Harris Collection Finding Aid"". Collection-level lead; exact folder, item title, classification, and pagination pending.","Collection-level lead; exact folder, item title, classification, and pagination pending.",https://clinton.presidentiallibraries.us/items/show/57270,,,,,,,,,,,,,,,,,,,,
15,Resolve file unit before selection,Resolve file unit,"Open the Catalog or Scout trail, identify item boundaries, and replace the row with an item-level document candidate.",box/folder path; item title; item date; classification markings; page range; digital-object status,,NPT and CTBT,High,Comprehensive Test Ban Treaty Statement 9/10/96,NARA Scout candidate,National Archives Catalog,,NAID 23903435,fileUnit,,,"Source: National Archives Catalog, NAID 23903435. File-unit title: ""Comprehensive Test Ban Treaty Statement 9/10/96"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.","File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/23903435,,,,,,,,,,,,,,,,,,,,
16,Resolve file unit before selection,Resolve file unit,"Open the Catalog or Scout trail, identify item boundaries, and replace the row with an item-level document candidate.",box/folder path; item title; item date; classification markings; page range; digital-object status,,NPT and CTBT,High,Nonproliferation - NPT [Non-Proliferation Treaty],NARA Scout candidate,National Archives Catalog,,NAID 40478001,fileUnit,,,"Source: National Archives Catalog, NAID 40478001. File-unit title: ""Nonproliferation - NPT [Non-Proliferation Treaty]"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.","File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/40478001,,,,,,,,,,,,,,,,,,,,
17,Resolve file unit before selection,Resolve file unit,"Open the Catalog or Scout trail, identify item boundaries, and replace the row with an item-level document candidate.",box/folder path; item title; item date; classification markings; page range; digital-object status,,NPT and CTBT,High,Nonproliferation - Test Ban,NARA Scout candidate,National Archives Catalog,,NAID 40478002,fileUnit,,,"Source: National Archives Catalog, NAID 40478002. File-unit title: ""Nonproliferation - Test Ban"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.","File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/40478002,,,,,,,,,,,,,,,,,,,,
18,Resolve file unit before selection,Resolve file unit,"Open the Catalog or Scout trail, identify item boundaries, and replace the row with an item-level document candidate.",box/folder path; item title; item date; classification markings; page range; digital-object status,,NPT and CTBT,High,NPT [Non-Proliferation Treaty] - Communications,NARA Scout candidate,National Archives Catalog,,NAID 40478317,fileUnit,,,"Source: National Archives Catalog, NAID 40478317. File-unit title: ""NPT [Non-Proliferation Treaty] - Communications"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.","File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/40478317,,,,,,,,,,,,,,,,,,,,
19,Resolve file unit before selection,Resolve file unit,"Open the Catalog or Scout trail, identify item boundaries, and replace the row with an item-level document candidate.",box/folder path; item title; item date; classification markings; page range; digital-object status,,Strategic Arms and Nuclear Security,High,PDD on Nuclear Security 9/20/95,NARA Scout candidate,National Archives Catalog,,NAID 23903161,fileUnit,,,"Source: National Archives Catalog, NAID 23903161. File-unit title: ""PDD on Nuclear Security 9/20/95"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.","File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/23903161,,,,,,,,,,,,,,,,,,,,
20,Resolve file unit before selection,Resolve file unit,"Open the Catalog or Scout trail, identify item boundaries, and replace the row with an item-level document candidate.",box/folder path; item title; item date; classification markings; page range; digital-object status,,Strategic Arms and Nuclear Security,Review,Working Groups: [Space Cooperation and Standing Committee Nuclear Materials],NARA Scout candidate,National Archives Catalog,,NAID 235148508,fileUnit,,,"Source: National Archives Catalog, NAID 235148508. File-unit title: ""Working Groups: [Space Cooperation and Standing Committee Nuclear Materials]"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.","File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/235148508,,,,,,,,,,,,,,,,,,,,
21,Resolve file unit before selection,Resolve file unit,"Open the Catalog or Scout trail, identify item boundaries, and replace the row with an item-level document candidate.",box/folder path; item title; item date; classification markings; page range; digital-object status,,START II Ratification,High,START II Press Statement 1/26/96,NARA Scout candidate,National Archives Catalog,,NAID 23903296,fileUnit,,,"Source: National Archives Catalog, NAID 23903296. File-unit title: ""START II Press Statement 1/26/96"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.","File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/23903296,,,,,,,,,,,,,,,,,,,,
22,Resolve file unit before selection,Resolve file unit,"Open the Catalog or Scout trail, identify item boundaries, and replace the row with an item-level document candidate.",box/folder path; item title; item date; classification markings; page range; digital-object status,,START II Ratification,Review,CSCE [Conference on Security and Cooperation in Europe] December 1994 [3],NARA Scout candidate,National Archives Catalog,,NAID 147873133,fileUnit,,,"Source: National Archives Catalog, NAID 147873133. File-unit title: ""CSCE [Conference on Security and Cooperation in Europe] December 1994 [3]"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.","File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/147873133,,,,,,,,,,,,,,,,,,,,
23,Resolve file unit before selection,Resolve file unit,"Open the Catalog or Scout trail, identify item boundaries, and replace the row with an item-level document candidate.",box/folder path; item title; item date; classification markings; page range; digital-object status,,Cooperative Threat Reduction and HEU Agreement,Medium,Notebooks: [Nunn Lugar Meeting],NARA Scout candidate,National Archives Catalog,NSC Records Management System,NAID 235148478,fileUnit,,,"Source: National Archives Catalog, NSC Records Management System, NAID 235148478. File-unit title: ""Notebooks: [Nunn Lugar Meeting]"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.","File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/235148478,,,,,,,,,,,,,,,,,,,,
24,Resolve file unit before selection,Resolve file unit,"Open the Catalog or Scout trail, identify item boundaries, and replace the row with an item-level document candidate.",box/folder path; item title; item date; classification markings; page range; digital-object status,,Cooperative Threat Reduction and HEU Agreement,Review,Working Groups: [Space Cooperation and Standing Committee Nuclear Materials],NARA Scout candidate,National Archives Catalog,NSC Records Management System,NAID 235148508,fileUnit,,,"Source: National Archives Catalog, NSC Records Management System, NAID 235148508. File-unit title: ""Working Groups: [Space Cooperation and Standing Committee Nuclear Materials]"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.","File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/235148508,,,,,,,,,,,,,,,,,,,,
25,Resolve file unit before selection,Resolve file unit,"Open the Catalog or Scout trail, identify item boundaries, and replace the row with an item-level document candidate.",box/folder path; item title; item date; classification markings; page range; digital-object status,,Nonproliferation Regimes,High,"[Anthony] Lake - Non-Proliferation Speech, [1/30/95]",NARA Scout candidate,National Archives Catalog,,NAID 40478352,fileUnit,,,"Source: National Archives Catalog, NAID 40478352. File-unit title: ""[Anthony] Lake - Non-Proliferation Speech, [1/30/95]"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.","File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/40478352,,,,,,,,,,,,,,,,,,,,
26,Resolve file unit before selection,Resolve file unit,"Open the Catalog or Scout trail, identify item boundaries, and replace the row with an item-level document candidate.",box/folder path; item title; item date; classification markings; page range; digital-object status,,Nonproliferation Regimes,High,Non-Proliferation Treaty/Budapest,NARA Scout candidate,National Archives Catalog,,NAID 147873401,fileUnit,,,"Source: National Archives Catalog, NAID 147873401. File-unit title: ""Non-Proliferation Treaty/Budapest"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.","File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/147873401,,,,,,,,,,,,,,,,,,,,
27,Resolve file unit before selection,Resolve file unit,"Open the Catalog or Scout trail, identify item boundaries, and replace the row with an item-level document candidate.",box/folder path; item title; item date; classification markings; page range; digital-object status,,Nonproliferation Regimes,Medium,Nonproliferation,NARA Scout candidate,National Archives Catalog,,NAID 40477999,fileUnit,,,"Source: National Archives Catalog, NAID 40477999. File-unit title: ""Nonproliferation"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.","File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/40477999,,,,,,,,,,,,,,,,,,,,
28,Resolve file unit before selection,Resolve file unit,"Open the Catalog or Scout trail, identify item boundaries, and replace the row with an item-level document candidate.",box/folder path; item title; item date; classification markings; page range; digital-object status,,Nonproliferation Regimes,Medium,Nonproliferation - Talking Points,NARA Scout candidate,National Archives Catalog,,NAID 40478316,fileUnit,,,"Source: National Archives Catalog, NAID 40478316. File-unit title: ""Nonproliferation - Talking Points"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.","File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/40478316,,,,,,,,,,,,,,,,,,,,
29,Resolve file unit before selection,Resolve file unit,"Open the Catalog or Scout trail, identify item boundaries, and replace the row with an item-level document candidate.",box/folder path; item title; item date; classification markings; page range; digital-object status,,Nonproliferation Regimes,Medium,Nuclear Smuggling,NARA Scout candidate,National Archives Catalog,,NAID 40478003,fileUnit,,,"Source: National Archives Catalog, NAID 40478003. File-unit title: ""Nuclear Smuggling"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.","File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/40478003,,,,,,,,,,,,,,,,,,,,
30,Resolve file unit before selection,Resolve file unit,"Open the Catalog or Scout trail, identify item boundaries, and replace the row with an item-level document candidate.",box/folder path; item title; item date; classification markings; page range; digital-object status,,Counterproliferation,Medium,Chron File - April 1994 No. 2 [3],NARA Scout candidate,National Archives Catalog,Robert Bell's Files,NAID 122245993,fileUnit,,,"Source: National Archives Catalog, Robert Bell's Files, NAID 122245993. File-unit title: ""Chron File - April 1994 No. 2 [3]"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.","File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/122245993,,,,,,,,,,,,,,,,,,,,
31,Resolve file unit before selection,Resolve file unit,"Open the Catalog or Scout trail, identify item boundaries, and replace the row with an item-level document candidate.",box/folder path; item title; item date; classification markings; page range; digital-object status,,Counterproliferation,Medium,Chron File - August 1994 No. 3 [3],NARA Scout candidate,National Archives Catalog,Robert Bell's Files,NAID 122246119,fileUnit,,,"Source: National Archives Catalog, Robert Bell's Files, NAID 122246119. File-unit title: ""Chron File - August 1994 No. 3 [3]"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.","File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/122246119,,,,,,,,,,,,,,,,,,,,
32,Resolve file unit before selection,Resolve file unit,"Open the Catalog or Scout trail, identify item boundaries, and replace the row with an item-level document candidate.",box/folder path; item title; item date; classification markings; page range; digital-object status,,Counterproliferation,Review,Chron File - August 1994 No. 3 [5],NARA Scout candidate,National Archives Catalog,Robert Bell's Files,NAID 122246123,fileUnit,,,"Source: National Archives Catalog, Robert Bell's Files, NAID 122246123. File-unit title: ""Chron File - August 1994 No. 3 [5]"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.","File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/122246123,,,,,,,,,,,,,,,,,,,,
33,Resolve file unit before selection,Resolve file unit,"Open the Catalog or Scout trail, identify item boundaries, and replace the row with an item-level document candidate.",box/folder path; item title; item date; classification markings; page range; digital-object status,,Counterproliferation,Review,Chron File - December 1994 No. 1 [5],NARA Scout candidate,National Archives Catalog,Robert Bell's Files,NAID 122246221,fileUnit,,,"Source: National Archives Catalog, Robert Bell's Files, NAID 122246221. File-unit title: ""Chron File - December 1994 No. 1 [5]"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.","File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/122246221,,,,,,,,,,,,,,,,,,,,
34,Resolve file unit before selection,Resolve file unit,"Open the Catalog or Scout trail, identify item boundaries, and replace the row with an item-level document candidate.",box/folder path; item title; item date; classification markings; page range; digital-object status,,Counterproliferation,Review,Chron File - February 1994 No. 1 [2],NARA Scout candidate,National Archives Catalog,Robert Bell's Files,NAID 122245915,fileUnit,,,"Source: National Archives Catalog, Robert Bell's Files, NAID 122245915. File-unit title: ""Chron File - February 1994 No. 1 [2]"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.","File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/122245915,,,,,,,,,,,,,,,,,,,,
35,Resolve file unit before selection,Resolve file unit,"Open the Catalog or Scout trail, identify item boundaries, and replace the row with an item-level document candidate.",box/folder path; item title; item date; classification markings; page range; digital-object status,,Counterproliferation,Review,Chron File - July 1993 No. 1 [5],NARA Scout candidate,National Archives Catalog,Robert Bell's Files,NAID 122245690,fileUnit,,,"Source: National Archives Catalog, Robert Bell's Files, NAID 122245690. File-unit title: ""Chron File - July 1993 No. 1 [5]"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.","File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/122245690,,,,,,,,,,,,,,,,,,,,
36,Resolve file unit before selection,Resolve file unit,"Open the Catalog or Scout trail, identify item boundaries, and replace the row with an item-level document candidate.",box/folder path; item title; item date; classification markings; page range; digital-object status,,Counterproliferation,Review,Chron File - June 1993 No. 1 [1],NARA Scout candidate,National Archives Catalog,Robert Bell's Files,NAID 122245640,fileUnit,,,"Source: National Archives Catalog, Robert Bell's Files, NAID 122245640. File-unit title: ""Chron File - June 1993 No. 1 [1]"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.","File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/122245640,,,,,,,,,,,,,,,,,,,,
37,Resolve file unit before selection,Resolve file unit,"Open the Catalog or Scout trail, identify item boundaries, and replace the row with an item-level document candidate.",box/folder path; item title; item date; classification markings; page range; digital-object status,,Counterproliferation,Review,Chron File - May 1994 No. 1 [5],NARA Scout candidate,National Archives Catalog,Robert Bell's Files,NAID 122246013,fileUnit,,,"Source: National Archives Catalog, Robert Bell's Files, NAID 122246013. File-unit title: ""Chron File - May 1994 No. 1 [5]"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.","File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/122246013,,,,,,,,,,,,,,,,,,,,
38,Resolve file unit before selection,Resolve file unit,"Open the Catalog or Scout trail, identify item boundaries, and replace the row with an item-level document candidate.",box/folder path; item title; item date; classification markings; page range; digital-object status,,Counterproliferation,Review,Chron File - May 1994 No. 1 [7],NARA Scout candidate,National Archives Catalog,Robert Bell's Files,NAID 122246017,fileUnit,,,"Source: National Archives Catalog, Robert Bell's Files, NAID 122246017. File-unit title: ""Chron File - May 1994 No. 1 [7]"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.","File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/122246017,,,,,,,,,,,,,,,,,,,,
39,Resolve file unit before selection,Resolve file unit,"Open the Catalog or Scout trail, identify item boundaries, and replace the row with an item-level document candidate.",box/folder path; item title; item date; classification markings; page range; digital-object status,,Counterproliferation,Review,Chron File - November 1994 No. 1 [2],NARA Scout candidate,National Archives Catalog,Robert Bell's Files,NAID 122246193,fileUnit,,,"Source: National Archives Catalog, Robert Bell's Files, NAID 122246193. File-unit title: ""Chron File - November 1994 No. 1 [2]"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.","File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/122246193,,,,,,,,,,,,,,,,,,,,
